Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ccm2	830.326763846278	-0.0963064478844416	0.192482807570433	-0.500337921604773	0.616837156596307	1
Tbrg4	495.296922018297	0.0582130056364791	0.163452846253474	0.35614556106417	0.721731558364315	1
Tmprss2	5.83569536839367	0.0330633644037461	0.940777776472845	0.0351447124183853	0.971964348062655	1
Mx1	6.39693546372817	-0.0406417539860901	0.953512710164052	-0.0426231906013059	0.966001908860099	1
Fap	34.5075453423729	-0.484669856563568	0.429342602881477	-1.12886504463049	0.258954768574479	1
Gcg	2.04770354262626	0	2.61072818060511	0	1	1
Ndufa9	2790.41026181302	-0.110865938580899	0.146473541122407	-0.756900787209406	0.449109303719781	1
Egfl6	15.7312509733719	0.0952928528647772	0.612280415826838	0.155635964178425	0.876319975040433	1
Lck	21.4434990517473	-0.428137067271722	0.625990290872451	-0.683935635287605	0.494015810485496	1
Tssk3	1.1099687780908	2.17471023493078	2.44723556315203	0.888639519495117	0.37419684483445	1
Cttnbp2	965.65315357119	0.245210689422308	0.18611515287371	1.31752136049179	0.187663925905723	1
Galnt1	1053.89093711927	-0.0587366428090328	0.144282832437664	-0.407093774198046	0.68393911584352	1
Myf5	0.131458796360444	-1.50304932648547	4.55015446547236	-0.330329297146056	0.741151158272831	NA
Mkrn2	468.569425459537	-0.0933835527974693	0.169118848980945	-0.552177083513566	0.580827033569467	1
Pparg	77.6039382925238	0.441526108183455	0.308034959490907	1.43336363156043	0.15175394606526	1
Raf1	561.121182837449	0.0395560144995728	0.227905614353306	0.173563141969166	0.862208800748275	1
Septin1	77.3592083727177	0.194587950719035	0.327850219629279	0.593526979908899	0.552828532505633	1
Pdgfb	206.496697842964	0.410136178418632	0.36582472347668	1.1211275567185	0.262233570363465	1
Acvrl1	84.3821906864611	-0.415196981040485	0.365330574220894	-1.13649666997058	0.255748758443885	1
Grasp	313.240685068907	0.0991225451621131	0.754958017326035	0.131295440126846	0.895541598818658	1
Acvr1b	1593.37953846648	-0.135255388309825	0.171739224718927	-0.787562588169288	0.4309526052117	1
Tom1l2	4592.00741147671	-0.1314898030267	0.157977107725603	-0.832334538337607	0.405220140600152	1
Zfp385a	2054.19120119017	0.106388071223338	0.148455828432273	0.716631151143205	0.473601717967335	1
Itga5	33.1613474362065	0.0134579494672875	0.450821189736437	0.0298520783265653	0.976185024753504	1
Gabra2	473.111401026304	0.04506474707291	0.214086977568473	0.210497376275474	0.83327949922046	1
Wdr77	901.407672614539	0.0310342686352503	0.153540944112621	0.202123731976578	0.839819995312277	1
Adora3	15.3622780420337	-0.343450396593513	0.641850290047679	-0.535094245369898	0.592584689018555	1
Atp5pb	6844.56994152179	-0.030956126484334	0.169558638195745	-0.182568855315983	0.855136323427408	1
Sox9	664.667493610514	-0.101165646061511	0.173526764572967	-0.582997362455702	0.559895075779042	1
Hnrnpd	2872.13578317566	-0.106972372485796	0.150726763308543	-0.709710539373952	0.477883655112256	1
Dynlt1c	20.4209677604917	0.0743730506365182	0.514725836348259	0.144490611087565	0.885113069921564	1
C1d	1135.68186698009	-0.0600087058498391	0.17144755542519	-0.35001202379945	0.726329674038395	1
Gm2a	1733.9987701776	0.0873176459758734	0.150975859905071	0.578355016694562	0.563024457413175	1
Krit1	608.526515337858	0.168832296083898	0.184963784950442	0.912785690069729	0.36135526586283	1
Clcn4	3284.36157598333	0.0383063981741181	0.125019354113439	0.306403744010386	0.759297258055855	1
Sema4f	771.837087497895	-0.121626020686986	0.189718754967069	-0.641085910078303	0.521466868011023	1
Hk2	143.113278298143	0.108460833678715	0.231631505271091	0.468247329100491	0.639607729681366	1
Myo18a	2443.07937969142	-0.16559180107231	0.168606403943659	-0.982120472290269	0.326040500873941	1
Sez6	2100.59218212719	-0.0911305446008506	0.23407907094239	-0.389315218289119	0.697042980022863	1
Haao	7.54012331603698	0.136827533826249	0.834532927833677	0.163957022260862	0.869764977142588	1
Cd52	74.6964003091701	-0.0666930002139367	0.299500628736367	-0.222680668469122	0.823784047940499	1
Abhd15	11.0989190738086	0.809259126333951	0.78348616578481	1.03289523373182	0.301652929528558	1
Hoxb6	38.9365598158224	5.28376452179047	2.53110360250725	2.08753387911759	0.036839901881442	1
Loxl3	89.5399898754792	0.101846634903361	0.288032609552988	0.353594112352147	0.723643087334892	1
Btn1a1	8.02685771975931	-0.63272587304016	0.846554841251484	-0.747412739504018	0.454814457796961	1
Kat2b	1045.74838017031	0.060065478201456	0.221037307014588	0.27174362107792	0.785819158138961	1
Rab5b	2149.86407905104	-0.0842186028901254	0.143848158249003	-0.585468760360088	0.55823256614499	1
Cryba1	1.32066169041536	2.57631474963719	2.51115783151346	1.02594696251508	0.304916584589542	1
Dnmt3l	2.61826815869081	0.72354660871273	1.4769831508032	0.489881423711067	0.62421780878799	1
Aire	0.876945200358152	1.46855256776708	2.93969940555847	0.499558752500443	0.617385807608088	1
Icosl	135.669809535443	0.164270253609924	0.28090940772901	0.584780178556331	0.558695533913659	1
Spg7	1073.36377996272	0.0512984474762555	0.140157092736683	0.366006789057985	0.714360009622085	1
Sult5a1	3.77469413535129	0.36149728015784	1.23923163288101	0.291710823518456	0.770507733020156	1
Rpl13	418.379114601849	0.39625611665778	0.257215561546368	1.54056043217411	0.123423804178614	1
Chmp1a	1343.93414986928	-0.126253328803159	0.181089034844176	-0.697189252302313	0.485684364143547	1
Rpa1	1265.12073605911	-0.0274881329681693	0.149999367491307	-0.183254992523635	0.854597947071807	1
Serpinf1	381.549204336799	0.338086508189233	0.203152650472889	1.66419934666002	0.0960725986067699	1
Tubgcp3	624.646272500429	0.125076126819446	0.186645486328151	0.670126716054322	0.502777015394658	1
Oprm1	4.93829129664927	1.09374766890898	1.1183879787331	0.977968012628287	0.328090144851703	1
Polr3d	362.094622573235	-0.220551949643392	0.190460044325188	-1.15799589580493	0.246865711289395	1
Tcf7	42.7323932084549	1.10191422557142	0.410945074181596	2.68141485274134	0.00733115685920558	1
Ddx3x	4027.17057285172	0.0170368203838608	0.137412045460157	0.123983456667201	0.901328373656763	1
Il12rb1	14.2523997478465	-0.493609303185584	0.673010494405937	-0.733434778935045	0.463293293506608	1
Slc5a5	248.872235044927	-0.0300303145683573	0.23531793237654	-0.127615920576358	0.898452931355544	1
Kcnn3	178.170535427306	0.113888577687122	0.30104126239852	0.378315506584463	0.705196227376533	1
Usp32	1642.29725899327	-0.00951781072769347	0.155157363672066	-0.0613429520999717	0.951086084360566	1
Car4	1186.87241733617	0.401158476397278	0.255395007321509	1.57073734762666	0.116243670265178	1
Txnrd3	156.503615930501	0.0329537478583832	0.230995650220681	0.142659603446649	0.886559022088475	1
Fasl	2.974693995073	1.04208681480793	1.35697468780535	0.767948602264138	0.442517721022361	1
Zfp512b	549.279531859113	-0.0221886433692144	0.213041340963505	-0.104151819871503	0.917048868119842	1
Dnajc5	5167.29838702057	-0.0592380667046331	0.132183258234992	-0.448151055554413	0.654044183242212	1
Tpd52l2	1086.13485292077	0.0468715972455391	0.159581476654037	0.293715775967872	0.76897509828919	1
Fmr1	1013.64831175087	0.0161280600415784	0.161018997063618	0.100162467383934	0.920215342810417	1
Bcl11a	918.259301491367	0.0435106938394592	0.254524191703665	0.170949148480618	0.864263750519699	1
Il4	241.27081682754	0.0517037959535627	0.228983092085638	0.225797439813704	0.821358968393322	1
Pxmp4	198.500769063575	0.0382515966308921	0.243096321346343	0.157351606223586	0.874967750889178	1
Dlg3	2026.21590871969	-0.06234393149921	0.22820717277882	-0.273190061206508	0.784707119512856	1
Gnb1l	77.0842751058815	-0.0600002869282762	0.291326489037917	-0.205955480143335	0.836825687411133	1
Dbh	149.056751254541	-0.067683054925181	0.688355067988288	-0.0983257886412955	0.921673601023992	1
Mmp11	35.4763554474099	-0.145058011201125	0.440524474660982	-0.329284794704671	0.741940435939684	1
Smarcb1	1576.41181547168	0.0296164818004797	0.1420624512764	0.208475086374915	0.834858033471683	1
Vpreb3	2.89731840890227	-1.3767611871419	1.47823572070234	-0.931354294758736	0.351670324963532	1
Hip1r	1291.67596426973	0.025445957362614	0.15469879137709	0.16448711160637	0.869347692009261	1
Nsun5	195.527581387382	0.00552503712436142	0.22245607172809	0.0248365310123552	0.980185352503973	1
